Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute_agg,precision_squared_agg,precision_ssim_agg,precision_psnr_agg,recall_absolute_agg,recall_squared_agg,recall_ssim_agg,recall_psnr_agg,f1-score_absolute_agg,f1-score_squared_agg,f1-score_ssim_agg,f1-score_psnr_agg,support_absolute_agg,support_squared_agg,support_ssim_agg,support_psnr_agg,conf_mat_absolute_agg,conf_mat_squared_agg,conf_mat_ssim_agg,conf_mat_psnr_agg,precision_absolute_overall,precision_squared_overall,precision_ssim_overall,precision_psnr_overall,recall_absolute_overall,recall_squared_overall,recall_ssim_overall,recall_psnr_overall,f1-score_absolute_overall,f1-score_squared_overall,f1-score_ssim_overall,f1-score_psnr_overall,support_absolute_overall,support_squared_overall,support_ssim_overall,support_psnr_overall,conf_mat_absolute_overall,conf_mat_squared_overall,conf_mat_ssim_overall,conf_mat_psnr_overall
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-5_RL-1_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6818,0.6539,0.7571,0.6627,0.8125,0.831,0.8145,0.8432,0.9345,0.9631,0.955,0.8928,0.3543,0.3765,0.2939,0.3875,0.1124,0.0857,0.0966,0.192,0.5476,0.5246,0.6487,0.5302,,,,,0.9124,0.9492,0.9297,0.8704,0.671,0.7442,0.6634,0.6491,0.6451,0.719,0.6319,0.6137,0.6435,0.7184,0.6287,0.6088,15324,15324,15324,15324,"4721,3852,1587,5164","5395,3178,1128,5623","4453,4120,1521,5230","4182,4391,1528,5223",0.8906,0.9055,0.8224,0.9153,0.8883,0.9034,0.8224,0.9142,0.8886,0.9036,0.8215,0.9144,15324,15324,15324,15324,"7478,1095,617,6134","7600,973,508,6243","7462,1111,1610,5141","7759,814,501,6250"
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-5_RL-2_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.638,0.628,0.748,0.6435,0.8097,0.8337,0.8139,0.8267,0.9335,0.9611,0.9522,0.877,0.407,0.3946,0.2923,0.3996,0.1206,0.0949,0.1058,0.1896,0.5114,0.516,0.6331,0.5224,,,,,0.9103,0.9494,0.9297,0.8435,0.6677,0.7315,0.6654,0.6539,0.6107,0.7167,0.6133,0.6019,0.5986,0.7173,0.6029,0.5906,15324,15324,15324,15324,"3716,4857,1108,5643","5658,2915,1427,5324","3829,4744,1182,5569","3705,4868,1232,5519",0.8806,0.896,0.8122,0.9064,0.8799,0.894,0.8106,0.9062,0.8801,0.8942,0.811,0.9063,15324,15324,15324,15324,"7550,1023,817,5934","7541,1032,593,6158","6950,1623,1280,5471","7804,769,668,6083"
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-5_RL-1_DISDECONV-Y-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.716,0.7228,0.781,0.6603,0.8304,0.8353,0.832,0.8479,0.9515,0.9666,0.9661,0.9088,0.3057,0.2952,0.2563,0.3823,0.1016,0.0875,0.0891,0.1721,0.5686,0.5672,0.6576,0.5203,,,,,0.9416,0.9564,0.9547,0.8945,0.7013,0.7542,0.667,0.7098,0.6996,0.741,0.6336,0.7082,0.7002,0.7417,0.63,0.7088,15324,15324,15324,15324,"6121,2452,2151,4600","5904,2669,1300,5451","4425,4148,1467,5284","6198,2375,2096,4655",0.9017,0.9129,0.8381,0.9137,0.9017,0.9128,0.8384,0.9135,0.9017,0.9128,0.8379,0.9135,15324,15324,15324,15324,"7828,745,761,5990","7893,680,656,6095","7497,1076,1401,5350","7851,722,604,6147"
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-5_RL-3_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.7134,0.7045,0.7877,0.637,0.8421,0.8447,0.8443,0.8392,0.9452,0.9633,0.9636,0.8671,0.3338,0.3295,0.2668,0.4071,0.0987,0.0876,0.0875,0.2146,0.558,0.5699,0.7258,0.51,,,,,0.9366,0.9529,0.9532,0.8438,0.7064,0.7462,0.6673,0.7006,0.6765,0.7394,0.5968,0.6757,0.6747,0.7404,0.5783,0.6748,15324,15324,15324,15324,"4908,3665,1293,5458","6134,2439,1554,5197","3345,5228,951,5800","5025,3548,1421,5330",0.9028,0.9137,0.7935,0.9137,0.9025,0.9135,0.7869,0.9131,0.9026,0.9136,0.7876,0.9133,15324,15324,15324,15324,"7764,809,685,6066","7864,709,616,6135","6503,2070,1196,5555","7812,761,570,6181"
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-5_RL-2_DISDECONV-Y-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6765,0.6208,0.7286,0.6266,0.7974,0.8333,0.8,0.8184,0.9108,0.9591,0.937,0.8325,0.3557,0.4146,0.2991,0.4171,0.1429,0.0963,0.1088,0.2512,0.5508,0.5107,0.6059,0.5058,,,,,0.875,0.9453,0.8962,0.8002,0.6672,0.7265,0.6729,0.6338,0.6432,0.7067,0.6011,0.6045,0.6421,0.7067,0.5829,0.6011,15324,15324,15324,15324,"4761,3812,1655,5096","5426,3147,1348,5403","3380,5193,919,5832","4246,4327,1734,5017",0.861,0.8958,0.7521,0.9057,0.8575,0.8959,0.749,0.9057,0.858,0.8959,0.7497,0.9057,15324,15324,15324,15324,"7187,1386,797,5954","7807,766,829,5922","6394,2179,1667,5084","7852,721,724,6027"
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-5_RL-3_DISDECONV-Y-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.687,0.6486,0.7541,0.6389,0.8149,0.8413,0.8303,0.8329,0.9287,0.9605,0.9574,0.8727,0.3307,0.3845,0.2712,0.4006,0.1244,0.0867,0.093,0.2235,0.5523,0.5144,0.6187,0.5092,,,,,0.905,0.9498,0.9405,0.8519,0.6796,0.7414,0.6561,0.6434,0.671,0.7316,0.6168,0.624,0.6722,0.7325,0.6108,0.6237,15324,15324,15324,15324,"5530,3043,1998,4753","5949,2624,1489,5262","4121,4452,1420,5331","4728,3845,1917,4834",0.8786,0.9089,0.7939,0.9149,0.8784,0.906,0.7941,0.9136,0.8785,0.9063,0.7929,0.9138,15324,15324,15324,15324,"7610,963,900,5851","7579,994,446,6305","7286,1287,1868,4883","7742,831,493,6258"
BICLSTM_AE_128_3X3_L,BICLSTM_AE_128_3X3_L-5_RL-3_DISDECONV-Y-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6829,0.7027,0.7747,0.6384,0.8481,0.8429,0.8424,0.8451,0.9443,0.9658,0.9661,0.8952,0.3601,0.3333,0.2801,0.4123,0.1018,0.0827,0.0831,0.193,0.5412,0.5915,0.7076,0.5141,,,,,0.933,0.9532,0.9538,0.8838,0.6881,0.7481,0.6689,0.6835,0.6359,0.7334,0.6079,0.6697,0.6272,0.7339,0.5941,0.6705,15324,15324,15324,15324,"4069,4504,1076,5675","5795,2778,1308,5443","3617,4956,1053,5698","5312,3261,1800,4951",0.9061,0.9179,0.8164,0.9182,0.9061,0.9176,0.8084,0.9178,0.9059,0.9177,0.8091,0.9179,15324,15324,15324,15324,"7946,627,812,5939","7890,683,579,6172","6615,1958,978,5773","7875,698,561,6190"
BICLSTM_AE_128_3X3_L,BICLSTM_AE_128_3X3_L-5_RL-1_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.7129,0.7323,0.7826,0.6533,0.8497,0.8401,0.8402,0.8495,0.9497,0.9662,0.9663,0.8987,0.3237,0.2977,0.2639,0.405,0.0963,0.087,0.087,0.2006,0.5635,0.595,0.6988,0.5265,,,,,0.9422,0.9554,0.9555,0.8826,0.6929,0.7509,0.683,0.71,0.6815,0.7424,0.6052,0.7019,0.6824,0.7433,0.5855,0.703,15324,15324,15324,15324,"5492,3081,1800,4951","6082,2491,1457,5294","3347,5226,824,5927","5789,2784,1784,4967",0.9042,0.9149,0.8321,0.9152,0.9035,0.9138,0.8314,0.914,0.9036,0.914,0.8303,0.9142,15324,15324,15324,15324,"7715,858,621,6130","7759,814,507,6244","7603,970,1613,5138","7751,822,496,6255"
BICLSTM_AE_128_3X3_L,BICLSTM_AE_128_3X3_L-5_RL-3_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6832,0.6987,0.789,0.6285,0.8442,0.8383,0.8377,0.837,0.9498,0.9643,0.9648,0.8865,0.3613,0.3385,0.2688,0.4149,0.0933,0.0892,0.0889,0.1958,0.5489,0.597,0.7363,0.5131,,,,,0.9373,0.9537,0.9545,0.8708,0.6713,0.7418,0.6568,0.6684,0.6316,0.7353,0.5875,0.6607,0.6262,0.7362,0.568,0.6619,15324,15324,15324,15324,"4265,4308,1337,5414","6112,2461,1596,5155","3250,5323,998,5753","5487,3086,2114,4637",0.9079,0.9132,0.8143,0.9132,0.9077,0.9122,0.8049,0.9121,0.9077,0.9123,0.8056,0.9123,15324,15324,15324,15324,"7804,769,646,6105","7751,822,524,6227","6539,2034,955,5796","7748,825,522,6229"
BICLSTM_AE_128_3X3_L,BICLSTM_AE_128_3X3_L-5_RL-2_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6856,0.6639,0.7558,0.649,0.8429,0.8432,0.8387,0.841,0.9406,0.9611,0.9592,0.8902,0.3473,0.3636,0.2908,0.3857,0.1078,0.086,0.0877,0.2048,0.5414,0.5163,0.6141,0.5204,,,,,0.9245,0.95,0.9434,0.8761,0.6823,0.7383,0.6442,0.6795,0.6577,0.7148,0.6119,0.6465,0.6566,0.7144,0.6079,0.6434,15324,15324,15324,15324,"4871,3702,1544,5207","5397,3176,1195,5556","4240,4333,1614,5137","4559,4014,1403,5348",0.8935,0.9135,0.8113,0.9159,0.8926,0.9118,0.8022,0.9142,0.8928,0.9121,0.8029,0.9144,15324,15324,15324,15324,"7620,953,693,6058","7696,877,474,6277","6524,2049,982,5769","7714,859,456,6295"
