Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute_agg,precision_squared_agg,precision_ssim_agg,precision_psnr_agg,recall_absolute_agg,recall_squared_agg,recall_ssim_agg,recall_psnr_agg,f1-score_absolute_agg,f1-score_squared_agg,f1-score_ssim_agg,f1-score_psnr_agg,support_absolute_agg,support_squared_agg,support_ssim_agg,support_psnr_agg,conf_mat_absolute_agg,conf_mat_squared_agg,conf_mat_ssim_agg,conf_mat_psnr_agg,precision_absolute_overall,precision_squared_overall,precision_ssim_overall,precision_psnr_overall,recall_absolute_overall,recall_squared_overall,recall_ssim_overall,recall_psnr_overall,f1-score_absolute_overall,f1-score_squared_overall,f1-score_ssim_overall,f1-score_psnr_overall,support_absolute_overall,support_squared_overall,support_ssim_overall,support_psnr_overall,conf_mat_absolute_overall,conf_mat_squared_overall,conf_mat_ssim_overall,conf_mat_psnr_overall
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6657,0.6625,0.7621,0.6591,0.8387,0.8403,0.8368,0.8479,0.9465,0.9646,0.9642,0.91,0.3679,0.349,0.2984,0.3973,0.0944,0.0834,0.0833,0.1607,0.5227,0.5163,0.6535,0.5365,,,,,0.9315,0.9482,0.9455,0.8851,0.6701,0.7322,0.6804,0.6713,0.6438,0.7098,0.62,0.6555,0.6421,0.7095,0.6077,0.656,15324,15324,15324,15324,"4700,3873,1586,5165","5385,3188,1259,5492","3763,4810,1013,5738","5121,3452,1827,4924",0.9065,0.919,0.8525,0.919,0.9057,0.9182,0.8289,0.918,0.9059,0.9184,0.8289,0.9182,15324,15324,15324,15324,"7723,850,595,6156","7817,756,497,6254","6354,2219,403,6348","7802,771,485,6266"
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-4_RL-2_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.685,0.683,0.7662,0.6571,0.849,0.8398,0.8398,0.8463,0.9483,0.9643,0.9646,0.901,0.3589,0.3392,0.2832,0.3887,0.0944,0.0843,0.0838,0.1696,0.5473,0.5383,0.6781,0.536,,,,,0.9366,0.9501,0.9507,0.874,0.673,0.7357,0.6529,0.6751,0.6447,0.7269,0.6209,0.656,0.6426,0.7278,0.6172,0.656,15324,15324,15324,15324,"4654,3919,1526,5225","5953,2620,1565,5186","4333,4240,1570,5181","5019,3554,1717,5034",0.9075,0.9168,0.8414,0.9166,0.9062,0.9163,0.8416,0.9163,0.9064,0.9164,0.8412,0.9164,15324,15324,15324,15324,"7688,885,552,6199","7845,728,554,6197","7491,1082,1345,5406","7866,707,576,6175"
BICGRU_AE_128_3X3_L,BICGRU_AE_128_3X3_L-4_RL-1_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.7082,0.6698,0.7778,0.722,0.8353,0.8335,0.8255,0.8452,0.9443,0.9632,0.9602,0.914,0.3287,0.3469,0.277,0.3276,0.0936,0.0842,0.0858,0.1671,0.5753,0.5315,0.6958,0.6161,,,,,0.9255,0.9462,0.9332,0.8842,0.6886,0.7448,0.7209,0.6769,0.6674,0.7229,0.6823,0.6482,0.6671,0.7227,0.679,0.6461,15324,15324,15324,15324,"5053,3520,1576,5175","5506,3067,1180,5571","4778,3795,1073,5678","4679,3894,1497,5254",0.9079,0.9149,0.8574,0.9165,0.9067,0.9146,0.8408,0.9161,0.9069,0.9147,0.8411,0.9162,15324,15324,15324,15324,"7691,882,548,6203","7855,718,591,6160","6610,1963,477,6274","7858,715,570,6181"
BICLSTM_AE_128_3X3_L,BICLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.674,0.6697,0.7508,0.6472,0.8452,0.839,0.8389,0.8492,0.9432,0.9634,0.9636,0.905,0.3603,0.342,0.2954,0.4066,0.0984,0.0836,0.083,0.169,0.5353,0.5212,0.6368,0.5153,,,,,0.9318,0.9472,0.9474,0.8803,0.6692,0.7265,0.686,0.6834,0.6449,0.7026,0.6282,0.6576,0.6438,0.7021,0.6174,0.6563,15324,15324,15324,15324,"4767,3806,1635,5116","5286,3287,1270,5481","3895,4678,1019,5732","4839,3734,1513,5238",0.9039,0.9186,0.8522,0.9189,0.9018,0.918,0.8336,0.9182,0.902,0.9182,0.8339,0.9183,15324,15324,15324,15324,"7594,979,526,6225","7839,734,522,6229","6503,2070,480,6271","7826,747,507,6244"
BICLSTM_AE_128_3X3_L,BICLSTM_AE_128_3X3_L-4_RL-1_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.7285,0.7379,0.8013,0.7174,0.8454,0.8382,0.8378,0.847,0.9474,0.9645,0.9645,0.9233,0.3308,0.2914,0.2586,0.3505,0.087,0.0831,0.0835,0.1528,0.6213,0.6377,0.7681,0.6267,,,,,0.9343,0.9483,0.9478,0.8996,0.7057,0.7592,0.7172,0.7138,0.6734,0.7486,0.674,0.7125,0.6711,0.7494,0.6694,0.713,15324,15324,15324,15324,"4826,3747,1258,5493","6055,2518,1334,5417","4610,3963,1033,5718","6251,2322,2083,4668",0.914,0.9173,0.868,0.9177,0.9125,0.917,0.8546,0.9174,0.9127,0.9171,0.855,0.9175,15324,15324,15324,15324,"7712,861,480,6271","7869,704,568,6183","6803,1770,458,6293","7876,697,569,6182"
BICLSTM_AE_128_3X3_L,BICLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6854,0.6844,0.774,0.6426,0.8461,0.8384,0.838,0.8427,0.944,0.9633,0.9637,0.8915,0.3585,0.3456,0.2788,0.4004,0.1015,0.0847,0.0846,0.171,0.559,0.5656,0.7161,0.5169,,,,,0.9325,0.9493,0.9501,0.8627,0.6704,0.7339,0.6737,0.6594,0.6445,0.7251,0.6119,0.6534,0.643,0.7261,0.5983,0.6546,15324,15324,15324,15324,"4718,3855,1592,5159","5941,2632,1580,5171","3651,4922,1025,5726","5515,3058,2253,4498",0.9003,0.9163,0.8391,0.9161,0.9,0.9156,0.8393,0.9149,0.9001,0.9157,0.839,0.9151,15324,15324,15324,15324,"7744,829,703,6048","7807,766,528,6223","7445,1128,1334,5417","7758,815,489,6262"
BICRNN_AE_128_3X3_L,BICRNN_AE_128_3X3_L-4_RL-1_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6796,0.7025,0.7648,0.6186,0.849,0.8428,0.8432,0.8348,0.9337,0.9603,0.9605,0.8513,0.3672,0.3332,0.2813,0.4237,0.1326,0.0931,0.0928,0.2273,0.5578,0.5806,0.6845,0.5143,,,,,0.9285,0.9513,0.952,0.8288,0.7018,0.7325,0.6557,0.6979,0.6458,0.7251,0.5973,0.6699,0.6369,0.726,0.5832,0.6683,15324,15324,15324,15324,"4112,4461,966,5785","5995,2578,1635,5116","3538,5035,1136,5615","4892,3681,1378,5373",0.893,0.9076,0.7772,0.9079,0.8916,0.9069,0.7726,0.9069,0.8909,0.9071,0.7733,0.9071,15324,15324,15324,15324,"8041,532,1129,5622","7746,827,599,6152","6489,2084,1401,5350","7713,860,567,6184"
BICRNN_AE_128_3X3_L,BICRNN_AE_128_3X3_L-4_RL-2_DISDECONV-N-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6208,0.6207,0.6912,0.584,0.7689,0.8014,0.7835,0.7829,0.8871,0.9325,0.9274,0.8089,0.403,0.4256,0.3632,0.4329,0.1917,0.1225,0.1312,0.277,0.5269,0.5248,0.5969,0.5304,,,,,0.8466,0.9116,0.9006,0.7722,0.6752,0.7044,0.5959,0.6766,0.6203,0.6735,0.5693,0.6273,0.6096,0.6715,0.5656,0.6189,15324,15324,15324,15324,"3856,4717,1102,5649","4858,3715,1288,5463","3976,4597,2003,4748","4030,4543,1168,5583",0.8253,0.8731,0.7297,0.8788,0.8087,0.8682,0.7244,0.8753,0.8091,0.8687,0.7253,0.8757,15324,15324,15324,15324,"6352,2221,710,6041","7196,1377,642,6109","6086,2487,1737,5014","7314,1259,652,6099"
BICRNN_AE_128_3X3_L,BICRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6823,0.7412,0.8096,0.6315,0.8381,0.8416,0.8417,0.8326,0.9398,0.965,0.9653,0.8456,0.3685,0.3183,0.2577,0.421,0.1167,0.0958,0.0949,0.2271,0.5593,0.7011,0.7862,0.5245,,,,,0.9304,0.9534,0.9539,0.815,0.6896,0.7516,0.6312,0.7069,0.6404,0.7448,0.5859,0.6731,0.6329,0.7457,0.5755,0.6704,15324,15324,15324,15324,"4170,4403,1107,5644","6171,2402,1509,5242","3656,4917,1429,5322","4788,3785,1225,5526",0.8898,0.9167,0.7762,0.9167,0.8897,0.914,0.7743,0.9135,0.8894,0.9142,0.7749,0.9137,15324,15324,15324,15324,"7870,703,987,5764","7646,927,391,6360","6662,1911,1547,5204","7615,958,368,6383"
CGRU_AE_128_3X3_L,CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y-_DENOISING_ADAM_MSE_AVENUE_NORMAL-{CRN}_.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.6727,0.6047,0.738,0.6167,0.8257,0.8343,0.8238,0.8322,0.9314,0.9589,0.9544,0.8668,0.3731,0.4038,0.2971,0.4168,0.1176,0.0887,0.0954,0.2164,0.5585,0.563,0.6131,0.5146,,,,,0.9161,0.9474,0.9356,0.839,0.6633,0.7231,0.66,0.6376,0.6355,0.7086,0.6109,0.6141,0.6334,0.7092,0.6013,0.6127,15324,15324,15324,15324,"4586,3987,1598,5153","5599,2974,1492,5259","3858,4715,1248,5503","4510,4063,1850,4901",0.8886,0.9065,0.7947,0.9117,0.8887,0.9054,0.7952,0.9095,0.8886,0.9056,0.7943,0.9097,15324,15324,15324,15324,"7763,810,896,5855","7692,881,569,6182","7225,1348,1791,4960","7645,928,459,6292"
