Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60796010.0/CLSTM_30_01_2021_15_13/CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL/CGRU_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6942,0.6501,0.7638,0.6709,0.8332,0.8419,0.8382,0.8392,0.9409,0.9587,0.957,0.8931,0.3394,0.3718,0.2697,0.3635,0.1139,0.0936,0.0981,0.1914,0.468,0.5222,0.4263,0.486,0.5687,0.5686,0.5688,0.5678,0.3619,0.3587,0.359,0.3705,0.8954,0.9034,0.8118,0.9067,0.8955,0.9024,0.808,0.9058,0.8953,0.9026,0.8086,0.906,15324,15324,15324,15324,"7839,734,868,5883","7682,891,604,6147","6796,1777,1165,5586","7719,854,589,6162"
CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60796010.0/CLSTM_30_01_2021_15_13/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL/CLSTM_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6734,0.6984,0.7808,0.6312,0.8367,0.8356,0.8326,0.8383,0.9447,0.9616,0.9613,0.882,0.366,0.3245,0.2505,0.4002,0.1041,0.0899,0.0904,0.2031,0.4895,0.4676,0.4139,0.51,0.5685,0.5693,0.5694,0.5682,0.3612,0.3579,0.3579,0.3726,0.8983,0.9101,0.8139,0.9109,0.8984,0.9084,0.8142,0.9094,0.8984,0.9086,0.8135,0.9096,15324,15324,15324,15324,"7815,758,799,5952","7671,902,502,6249","7347,1226,1621,5130","7686,887,502,6249"
CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y,/localscratch/a24ravi.60796010.0/CLSTM_30_01_2021_15_13/CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL/CRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y|_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6754,0.7443,0.8159,0.6199,0.8369,0.8396,0.8399,0.8322,0.9449,0.9663,0.9666,0.8534,0.3713,0.32,0.2543,0.434,0.1119,0.0904,0.0899,0.223,0.4688,0.4142,0.39,0.4958,0.5683,0.5688,0.5688,0.5685,0.361,0.357,0.357,0.3794,0.8888,0.9139,0.7809,0.9142,0.8881,0.9113,0.7798,0.9113,0.8883,0.9115,0.7801,0.9116,15324,15324,15324,15324,"7614,959,755,5996","7632,941,419,6332","6765,1808,1567,5184","7620,953,406,6345"
C2D_AE_128_3X3,/localscratch/a24ravi.61050712.0/C2D_03_02_2021_09_07/C2D_AE_128_3X3|_ADAM_WEIGHTED_HAM10000_NORMAL/C2D_AE_128_3X3|_ADAM_WEIGHTED_HAM10000_NORMAL.pkl,Normal,HAM10000,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,False,0.84,0.9402,0.8757,0.7121,0.917,0.9674,0.9341,0.831,0.9097,0.9597,0.9294,0.8243,0.2633,0.1433,0.225,0.3433,0.1683,0.0994,0.175,0.26,0.3319,0.3128,0.3239,0.3842,0.3192,0.3102,0.3156,0.3677,0.3173,0.3111,0.3139,0.3514,0.8429,0.8573,0.7842,0.903,0.8417,0.8508,0.7742,0.9017,0.8415,0.8502,0.7721,0.9016,1200,1200,1200,1200,"523,77,113,487","470,130,49,551","408,192,79,521","558,42,76,524"
C2D_AE_128_3X3,/localscratch/a24ravi.61050712.0/C2D_03_02_2021_09_07/C2D_AE_128_3X3|_ADAM_PSNR_HAM10000_NORMAL/C2D_AE_128_3X3|_ADAM_PSNR_HAM10000_NORMAL.pkl,Normal,HAM10000,NORMAL,128,PSNR,ADAM,False,False,0.8546,0.9155,0.8165,0.7459,0.9022,0.9254,0.8682,0.7916,0.8965,0.9256,0.8707,0.7942,0.2533,0.1707,0.2533,0.3133,0.195,0.1528,0.2483,0.2633,0.3287,0.3177,0.3388,0.385,0.3248,0.319,0.3334,0.3785,0.3193,0.3149,0.3247,0.3554,0.8259,0.8025,0.7392,0.8549,0.8217,0.7925,0.7392,0.8542,0.8211,0.7908,0.7392,0.8541,1200,1200,1200,1200,"459,141,73,527","421,179,70,530","442,158,155,445","526,74,101,499"
C2D_AE_128_3X3,/localscratch/a24ravi.61050712.0/C2D_03_02_2021_09_07/C2D_AE_128_3X3|_ADAM_MSE_HAM10000_NORMAL/C2D_AE_128_3X3|_ADAM_MSE_HAM10000_NORMAL.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.8699,0.9234,0.8336,0.7319,0.8944,0.9278,0.867,0.7942,0.8907,0.9286,0.8715,0.7986,0.2133,0.1598,0.235,0.3267,0.1962,0.1467,0.2483,0.2617,0.3259,0.3167,0.335,0.383,0.3262,0.3182,0.3329,0.3682,0.3206,0.3147,0.3246,0.3472,0.8068,0.7995,0.7383,0.8576,0.8067,0.7883,0.7383,0.8575,0.8066,0.7863,0.7383,0.8575,1200,1200,1200,1200,"477,123,109,491","415,185,69,531","443,157,157,443","509,91,80,520"
C2D_AE_128_3X3,/localscratch/a24ravi.61050712.0/C2D_03_02_2021_09_07/C2D_AE_128_3X3|_ADAM_MSE_HAM10000_NORMAL_DeNoising/C2D_AE_128_3X3|_ADAM_MSE_HAM10000_NORMAL_DeNoising.pkl,Normal,HAM10000,NORMAL,128,MSE,ADAM,True,False,0.8582,0.9177,0.8291,0.7289,0.894,0.9272,0.8699,0.7897,0.8903,0.9278,0.873,0.7926,0.2447,0.1733,0.2467,0.3283,0.19,0.1517,0.2417,0.26,0.3279,0.317,0.3355,0.3909,0.326,0.318,0.3315,0.3811,0.3205,0.3147,0.3244,0.3591,0.8136,0.795,0.7417,0.856,0.8125,0.79,0.7417,0.8558,0.8123,0.7891,0.7417,0.8558,1200,1200,1200,1200,"470,130,95,505","435,165,87,513","447,153,157,443","508,92,81,519"
C2D_AE_128_3X3_DP,/localscratch/a24ravi.61050712.0/C2D_03_02_2021_09_07/C2D_AE_128_3X3_DP|_ADAM_MSE_HAM10000_NORMAL/C2D_AE_128_3X3_DP|_ADAM_MSE_HAM10000_NORMAL.pkl,Dropouts,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.5009,0.5122,0.4961,0.7555,0.5501,0.567,0.549,0.7816,0.5615,0.5753,0.5644,0.7832,0.54,0.5433,0.5467,0.315,0.4483,0.4413,0.4717,0.275,0.4741,0.4586,0.4749,0.3719,0.5265,0.5302,0.5449,0.386,0.5304,0.5402,0.5681,0.3629,0.6651,0.7512,0.7452,0.6798,0.6133,0.6483,0.7367,0.645,0.5804,0.6082,0.7344,0.6269,1200,1200,1200,1200,"200,400,64,536","197,403,19,581","386,214,102,498","255,345,81,519"
C2D_AE_128_3X3_SQZEX,/localscratch/a24ravi.61050712.0/C2D_03_02_2021_09_07/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_HAM10000_NORMAL/C2D_AE_128_3X3_SQZEX|_ADAM_MSE_HAM10000_NORMAL.pkl,SqueezeExcitation,HAM10000,NORMAL,128,MSE,ADAM,False,False,0.831,0.9033,0.7978,0.7215,0.8818,0.9209,0.857,0.7832,0.8784,0.9209,0.8614,0.7879,0.2633,0.1947,0.2683,0.3333,0.2067,0.1583,0.2548,0.2691,0.3341,0.3196,0.3431,0.3919,0.3293,0.3196,0.3351,0.3805,0.323,0.3158,0.3269,0.3575,0.8035,0.7856,0.732,0.8442,0.8033,0.7775,0.7317,0.8442,0.8033,0.7759,0.7316,0.8442,1200,1200,1200,1200,"475,125,111,489","416,184,83,517","427,173,149,451","510,90,97,503"
C2D_AE_128_3X3,/localscratch/a24ravi.60724478.0/C2D_29_01_2021_14_25/C2D_AE_128_3X3|_ADAM_WEIGHTED_SHANGAI_TECH_NORMAL/C2D_AE_128_3X3|_ADAM_WEIGHTED_SHANGAI_TECH_NORMAL.pkl,Normal,SHANGAI_TECH,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,False,0.6573,0.6387,0.63,0.7038,0.6912,0.6971,0.6972,0.7437,0.4797,0.4809,0.4806,0.5059,0.3947,0.3951,0.4026,0.3428,0.506,0.5302,0.5303,0.4865,0.3262,0.332,0.3346,0.3082,0.3948,0.4064,0.4062,0.3641,0.4159,0.4117,0.412,0.3961,0.5675,0.6269,0.5929,0.6262,0.4672,0.4624,0.4758,0.4626,0.3905,0.3528,0.3982,0.3534,40791,40791,40791,40791,"15542,1784,19951,3514","16647,679,21249,2216","15810,1516,19868,3597","16637,689,21233,2232"
