Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute_agg,precision_squared_agg,precision_ssim_agg,precision_psnr_agg,recall_absolute_agg,recall_squared_agg,recall_ssim_agg,recall_psnr_agg,f1-score_absolute_agg,f1-score_squared_agg,f1-score_ssim_agg,f1-score_psnr_agg,support_absolute_agg,support_squared_agg,support_ssim_agg,support_psnr_agg,conf_mat_absolute_agg,conf_mat_squared_agg,conf_mat_ssim_agg,conf_mat_psnr_agg,precision_absolute_overall,precision_squared_overall,precision_ssim_overall,precision_psnr_overall,recall_absolute_overall,recall_squared_overall,recall_ssim_overall,recall_psnr_overall,f1-score_absolute_overall,f1-score_squared_overall,f1-score_ssim_overall,f1-score_psnr_overall,support_absolute_overall,support_squared_overall,support_ssim_overall,support_psnr_overall,conf_mat_absolute_overall,conf_mat_squared_overall,conf_mat_ssim_overall,conf_mat_psnr_overall
CRNN_AE_64_3X3_L,CRNN_AE_64_3X3_L-5_RL-1_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5127,0.5173,0.5174,0.5105,0.5125,0.5175,0.5176,0.5102,0.5128,0.5177,0.5177,0.5099,0.4866,0.4838,0.4845,0.4926,0.487,0.4854,0.4874,0.4921,0.7569,0.761,0.7609,0.7545,0.757,0.7614,0.7611,0.7546,0.7569,0.7609,0.7606,0.7544,0.6357,0.6369,0.6346,0.6378,0.4989,0.5367,0.4743,0.506,0.5317,0.5673,0.5057,0.5386,25000,25000,25000,25000,"3399,2851,9676,9074","2975,3275,8308,10442","3667,2583,10560,8190","3367,2883,9468,9282",0.6352,0.6381,0.634,0.6387,0.5189,0.4717,0.4641,0.4796,0.5511,0.5022,0.4943,0.511,25000,25000,25000,25000,"3148,3102,8926,9824","3773,2477,10730,8020","3773,2477,10920,7830","3695,2555,10454,8296"
C2D_AE_128_3X3,28_3X3-_ADAM_MSE_AVENUE_NORMAL-{APE}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7109,0.7427,0.816,0.6591,0.8395,0.8357,0.8357,0.8503,0.9443,0.9676,0.968,0.9229,0.3428,0.2989,0.2597,0.4032,0.1007,0.0886,0.0898,0.1439,0.5935,0.6886,0.8015,0.5514,,,,,0.9325,0.9556,0.9563,0.908,0.6908,0.7528,0.6528,0.7106,0.6554,0.7438,0.6146,0.7035,0.652,0.7447,0.6088,0.7046,15324,15324,15324,15324,"4589,3984,1297,5454","6076,2497,1429,5322","4124,4449,1457,5294","5846,2727,1816,4935",0.9038,0.9133,0.8608,0.9139,0.9038,0.9133,0.8585,0.9137,0.9038,0.9133,0.8589,0.9138,15324,15324,15324,15324,"7825,748,726,6025","7897,676,653,6098","7258,1315,853,5898","7870,703,619,6132"
C2D_AE_128_3X3,E-06_C1_ADAM_MSE_AVENUE_NORMAL-{APE}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.7207,0.774,0.8423,0.6762,0.8419,0.8373,0.8376,0.8492,0.9541,0.9677,0.9682,0.9393,0.3345,0.2741,0.2389,0.3918,0.0935,0.0904,0.0916,0.1348,0.5958,0.7331,0.8352,0.5639,,,,,0.9427,0.9558,0.9566,0.9267,0.7134,0.7727,0.6716,0.7304,0.6609,0.7657,0.6353,0.7285,0.6537,0.7666,0.631,0.7291,15324,15324,15324,15324,"4321,4252,945,5806","6328,2245,1345,5406","4374,4199,1390,5361","6317,2256,1905,4846",0.9092,0.9139,0.8738,0.9142,0.9081,0.9139,0.874,0.9143,0.9082,0.9139,0.8738,0.9142,15324,15324,15324,15324,"7715,858,551,6200","7942,631,688,6063","7677,896,1035,5716","7921,652,662,6089"
C2D_AE_128_3X3,E-06_C3_ADAM_MSE_AVENUE_NORMAL-{APE}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6924,0.7184,0.7975,0.648,0.84,0.8387,0.8383,0.8497,0.9443,0.9682,0.9686,0.9368,0.3534,0.3167,0.2593,0.4173,0.0997,0.084,0.0861,0.1212,0.5718,0.6383,0.7604,0.5402,,,,,0.9362,0.9572,0.9579,0.9271,0.6913,0.7603,0.678,0.6982,0.6492,0.7455,0.6229,0.6797,0.6439,0.7461,0.6125,0.6799,15324,15324,15324,15324,"4389,4184,1192,5559","5892,2681,1219,5532","3882,4691,1087,5664","5237,3336,1572,5179",0.9047,0.9171,0.8801,0.9176,0.9046,0.917,0.8795,0.9174,0.9046,0.917,0.8796,0.9175,15324,15324,15324,15324,"7815,758,704,6047","7898,675,597,6154","7546,1027,820,5931","7881,692,574,6177"
C2D_AE_128_3X3,_P64_C1_ADAM_MSE_AVENUE_NORMAL-{APE}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6605,0.6874,0.7087,0.6055,0.8154,0.806,0.806,0.7878,0.8893,0.9332,0.9334,0.8054,0.3827,0.3644,0.3516,0.438,0.1849,0.1232,0.1241,0.2801,0.5707,0.6319,0.6823,0.5273,,,,,0.8745,0.917,0.9174,0.7729,0.6542,0.6797,0.6105,0.6733,0.6279,0.6536,0.5655,0.6515,0.626,0.6522,0.5531,0.6509,15324,15324,15324,15324,"4554,4019,1683,5068","4796,3777,1531,5220","3425,5148,1510,5241","4894,3679,1662,5089",0.818,0.878,0.7312,0.8781,0.8159,0.8761,0.7189,0.8761,0.8164,0.8764,0.7197,0.8764,15324,15324,15324,15324,"6959,1614,1207,5544","7422,1151,747,6004","5758,2815,1493,5258","7405,1168,731,6020"
C2D_AE_128_3X3,_P64_C3_ADAM_MSE_AVENUE_NORMAL-{APE}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.8503,0.8596,0.8967,0.8154,0.8278,0.838,0.8381,0.8416,0.9479,0.9647,0.9651,0.9448,0.2239,0.1992,0.1576,0.2567,0.1104,0.092,0.0925,0.1293,0.8235,0.853,0.8966,0.7741,,,,,0.9306,0.9524,0.9532,0.9317,0.7895,0.8544,0.7468,0.8235,0.7886,0.8546,0.7447,0.8236,0.7865,0.8543,0.7453,0.8228,15324,15324,15324,15324,"7384,1189,2050,4701","7574,999,1229,5522","6429,2144,1768,4983","7453,1120,1583,5168",0.8962,0.9092,0.8763,0.9092,0.8963,0.9092,0.8763,0.9089,0.8962,0.9092,0.8763,0.909,15324,15324,15324,15324,"7844,729,860,5891","7857,716,676,6075","7647,926,969,5782","7813,760,636,6115"
C2D_AE_128_3X3_AAC,X3_AAC-_ADAM_MSE_AVENUE_NORMAL-{APE}.pkl,AttentionAugmentedConvs,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6842,0.7012,0.7808,0.6718,0.8467,0.8431,0.8433,0.8523,0.9497,0.97,0.9705,0.9373,0.367,0.3416,0.2784,0.3963,0.0911,0.0818,0.0819,0.1329,0.5811,0.6044,0.7262,0.5601,,,,,0.9401,0.9589,0.9598,0.9241,0.694,0.7331,0.6853,0.6958,0.6304,0.7244,0.6286,0.6618,0.6182,0.7254,0.6182,0.6588,15324,15324,15324,15324,"3831,4742,921,5830","5938,2635,1588,5163","3917,4656,1035,5716","4680,3893,1290,5461",0.9106,0.9185,0.8758,0.9186,0.9106,0.9182,0.8756,0.9182,0.9106,0.9183,0.8751,0.9183,15324,15324,15324,15324,"7889,684,686,6065","7874,699,555,6196","7814,759,1148,5603","7872,701,552,6199"
C2D_AE_128_3X3_SQZEX,_SQZEX-_ADAM_MSE_AVENUE_NORMAL-{APE}.pkl,SqueezeExcitation,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6949,0.7381,0.8052,0.662,0.8426,0.8368,0.8369,0.8493,0.9492,0.9676,0.9679,0.9295,0.349,0.304,0.2486,0.4045,0.0952,0.0867,0.088,0.1373,0.5699,0.6496,0.7594,0.5562,,,,,0.9393,0.9567,0.9573,0.9148,0.7057,0.765,0.6791,0.7157,0.6555,0.758,0.6254,0.6926,0.6486,0.7589,0.6156,0.6921,15324,15324,15324,15324,"4306,4267,1012,5739","6268,2305,1403,5348","3933,4640,1100,5651","5217,3356,1355,5396",0.9055,0.9159,0.8658,0.9162,0.9049,0.9159,0.8624,0.9161,0.905,0.9159,0.8628,0.9161,15324,15324,15324,15324,"7749,824,633,6118","7921,652,637,6114","7225,1348,761,5990","7899,674,612,6139"
CRNN_AE_64_3X3_L,CRNN_AE_64_3X3_L-5_RL-1_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE-{MM}_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.5127,0.5173,0.5174,0.5105,0.5125,0.5175,0.5176,0.5102,0.5128,0.5177,0.5177,0.5099,0.4866,0.4838,0.4845,0.4926,0.487,0.4854,0.4874,0.4921,0.7569,0.761,0.7609,0.7545,0.757,0.7614,0.7611,0.7546,0.7569,0.7609,0.7606,0.7544,0.6357,0.6369,0.6346,0.6378,0.4989,0.5367,0.4743,0.506,0.5317,0.5673,0.5057,0.5386,25000,25000,25000,25000,"3399,2851,9676,9074","2975,3275,8308,10442","3667,2583,10560,8190","3367,2883,9468,9282",0.6352,0.6381,0.634,0.6387,0.5189,0.4717,0.4641,0.4796,0.5511,0.5022,0.4943,0.511,25000,25000,25000,25000,"3148,3102,8926,9824","3773,2477,10730,8020","3773,2477,10920,7830","3695,2555,10454,8296"
CRNN_AE_64_3X3_L,CRNN_AE_64_3X3_L-5_RL-1_DISDECONV-N-_ADAM_MSE_MOVINGMNIST_GRAYSCALE_.pkl,Normal,False,GRAYSCALE,64,MSE,ADAM,False,False,0.526,0.5596,0.5671,0.5858,0.5417,0.554,0.5564,0.5746,0.5385,0.5484,0.5499,0.5695,0.4852,0.4589,0.4543,0.4412,0.4754,0.4687,0.4689,0.4507,0.8245,0.8392,0.8434,0.8543,0.8294,0.835,0.8365,0.847,0.8298,0.835,0.8362,0.8469,0.7069,0.7222,0.729,0.7193,0.6465,0.656,0.5946,0.6644,0.6719,0.6827,0.6378,0.6874,50000,50000,50000,50000,"3006,6369,11305,29320","3550,5825,11374,29251","4739,4636,15634,24991","3287,6088,10692,29933",0.7122,0.7159,0.7252,0.7149,0.627,0.6291,0.5382,0.6516,0.6601,0.6624,0.5885,0.6777,50000,50000,50000,50000,"3543,5832,12818,27807","3677,5698,12848,27777","5327,4048,19044,21581","3289,6086,11332,29293"
