Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
C2D_AE_128_3X3,/localscratch/a24ravi.60175838.0/C2D_21_01_2021_05_32/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7024,0.7113,0.7929,0.6664,0.8424,0.8375,0.8379,0.851,0.9455,0.9642,0.9645,0.9316,0.3546,0.3268,0.2456,0.3962,0.089,0.0892,0.0891,0.1212,0.4537,0.4376,0.3989,0.4724,0.5684,0.5693,0.5693,0.5677,0.3615,0.3579,0.3579,0.3632,0.9203,0.9149,0.8808,0.9149,0.9203,0.9149,0.8787,0.9148,0.9202,0.9149,0.879,0.9149,15324,15324,15324,15324,"8037,536,685,6066","7914,659,645,6106","7422,1151,708,6043","7902,671,634,6117"
C2D_AE_128_3X3,/localscratch/a24ravi.60277553.0/C2D_22_01_2021_16_02/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_NORMAL_DeNoising/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_NORMAL_DeNoising.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,False,0.7008,0.7987,0.856,0.6574,0.8408,0.8405,0.8407,0.8452,0.9472,0.968,0.9683,0.9264,0.3467,0.256,0.2298,0.4074,0.0944,0.0876,0.0875,0.1381,0.4549,0.3945,0.3795,0.4762,0.5685,0.5691,0.5691,0.568,0.3605,0.3571,0.3571,0.3637,0.9066,0.9156,0.8634,0.916,0.9062,0.9157,0.8607,0.916,0.9063,0.9156,0.8611,0.9159,15324,15324,15324,15324,"7777,796,641,6110","7991,582,710,6041","7255,1318,816,5935","7976,597,690,6061"
C2D_AE_128_3X3,/localscratch/a24ravi.60277553.0/C2D_22_01_2021_16_02/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.7125,0.7738,0.8423,0.664,0.8437,0.8377,0.8379,0.8511,0.9532,0.9671,0.9674,0.9328,0.3463,0.2785,0.2378,0.4039,0.0917,0.0916,0.0921,0.1351,0.441,0.403,0.383,0.4648,0.5683,0.5693,0.5693,0.5677,0.3598,0.3572,0.3572,0.3626,0.912,0.9114,0.8709,0.9116,0.912,0.9114,0.8662,0.9116,0.912,0.9114,0.8667,0.9116,15324,15324,15324,15324,"7954,619,729,6022","7905,668,690,6061","7191,1382,668,6083","7897,676,678,6073"
C2D_AE_128_3X3,/localscratch/a24ravi.60277553.0/C2D_22_01_2021_16_02/C2D_AE_128_3X3|_ADAM_WEIGHTED_AVENUE_NORMAL/C2D_AE_128_3X3|_ADAM_WEIGHTED_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,False,0.7077,0.8499,0.8778,0.6741,0.8461,0.8431,0.8429,0.8535,0.9418,0.9676,0.9678,0.9309,0.3501,0.2253,0.2012,0.3906,0.1121,0.0917,0.0914,0.1247,0.4417,0.3816,0.3752,0.4657,0.5676,0.5686,0.5686,0.5674,0.3614,0.3572,0.3572,0.3635,0.8892,0.9118,0.8808,0.912,0.8868,0.9106,0.8809,0.9106,0.8872,0.9108,0.8808,0.9108,15324,15324,15324,15324,"7469,1104,630,6121","7721,852,518,6233","7713,860,965,5786","7711,862,508,6243"
C2D_AE_128_3X3,/localscratch/a24ravi.60277553.0/C2D_22_01_2021_16_02/C2D_AE_128_3X3|_ADAM_PSNR_AVENUE_NORMAL/C2D_AE_128_3X3|_ADAM_PSNR_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,PSNR,ADAM,False,False,0.6984,0.711,0.7913,0.6707,0.8462,0.8417,0.842,0.848,0.9367,0.9643,0.9645,0.9196,0.3492,0.3211,0.2597,0.3945,0.1369,0.0846,0.0846,0.1665,0.4477,0.4412,0.4004,0.4697,0.568,0.5689,0.5689,0.5678,0.3626,0.3579,0.3579,0.3654,0.8915,0.9164,0.8556,0.9159,0.888,0.9161,0.8531,0.9153,0.8868,0.9162,0.8516,0.9154,15324,15324,15324,15324,"8141,432,1285,5466","7867,706,580,6171","7871,702,1549,5202","7823,750,548,6203"
C2D_AE_128_3X3,/localscratch/a24ravi.60291996.0/C2D_22_01_2021_21_24/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL_DeNoising/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL_DeNoising.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,True,True,0.6987,0.7606,0.8375,0.6413,0.837,0.8405,0.8407,0.8451,0.9451,0.9681,0.9684,0.9317,0.3471,0.3204,0.2486,0.4169,0.0961,0.0871,0.0869,0.1253,0.4525,0.4071,0.3841,0.4802,0.5689,0.5692,0.5692,0.5678,0.3611,0.357,0.357,0.3632,0.9089,0.9137,0.8782,0.9143,0.909,0.9133,0.8781,0.9143,0.9089,0.9134,0.8781,0.9143,15324,15324,15324,15324,"7887,686,709,6042","7828,745,584,6167","7616,957,911,5840","7909,664,649,6102"
C2D_AE_128_3X3,/localscratch/a24ravi.60291996.0/C2D_22_01_2021_21_24/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_MSE_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.7025,0.7214,0.7884,0.6772,0.8435,0.8374,0.8376,0.8514,0.9473,0.9637,0.9639,0.9383,0.3469,0.3016,0.2601,0.3859,0.0898,0.089,0.0898,0.1133,0.4502,0.4386,0.4025,0.4647,0.5683,0.5693,0.5693,0.5675,0.361,0.358,0.358,0.3621,0.9113,0.9138,0.8874,0.9136,0.9111,0.9137,0.8867,0.9134,0.9112,0.9137,0.8869,0.9135,15324,15324,15324,15324,"7848,725,637,6114","7885,688,635,6116","7602,971,765,5986","7864,709,618,6133"
C2D_AE_128_3X3,/localscratch/a24ravi.60291996.0/C2D_22_01_2021_21_24/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_WEIGHTED_AVENUE_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_WEIGHTED_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,WEIGHTED_SIMILARITY,ADAM,False,True,0.7075,0.8365,0.8625,0.6569,0.8421,0.8456,0.8455,0.8488,0.9454,0.9688,0.969,0.9335,0.3423,0.2451,0.2137,0.3986,0.1235,0.0918,0.0918,0.1207,0.4504,0.3846,0.3784,0.4763,0.568,0.5687,0.5687,0.5678,0.3606,0.357,0.357,0.3631,0.8862,0.9104,0.885,0.9104,0.8791,0.9091,0.885,0.909,0.8796,0.9093,0.885,0.9092,15324,15324,15324,15324,"7191,1382,470,6281","7706,867,526,6225","7674,899,864,5887","7692,881,514,6237"
C2D_AE_128_3X3,/localscratch/a24ravi.60291996.0/C2D_22_01_2021_21_24/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_PSNR_AVENUE_NORMAL/C2D_AE_128_3X3|_CONV_ATTENTION_ADAM_PSNR_AVENUE_NORMAL.pkl,Normal,AVENUE,NORMAL,128,PSNR,ADAM,False,True,0.7067,0.8066,0.8677,0.6577,0.8475,0.8455,0.8455,0.8499,0.9432,0.9665,0.9667,0.9104,0.3384,0.2685,0.2264,0.3976,0.101,0.0859,0.0854,0.1737,0.4469,0.393,0.3766,0.4797,0.5679,0.5688,0.5688,0.5676,0.3617,0.3573,0.3573,0.367,0.9086,0.9162,0.83,0.9159,0.9084,0.9161,0.8266,0.9159,0.9082,0.9162,0.8271,0.9159,15324,15324,15324,15324,"8016,557,846,5905","7920,653,632,6119","6958,1615,1042,5709","7916,657,632,6119"
C2D_AE_128_3X3,/localscratch/a24ravi.60331765.0/C2D_23_01_2021_14_13/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_NORMAL_SVDD/C2D_AE_128_3X3|_ADAM_MSE_AVENUE_NORMAL_SVDD.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6832,0.6933,0.7766,0.6562,0.8464,0.8405,0.8408,0.8501,0.947,0.966,0.9662,0.9277,0.3552,0.3394,0.2828,0.3997,0.0912,0.0874,0.0877,0.1376,0.466,0.4502,0.4054,0.4797,0.5679,0.5688,0.5688,0.5677,0.3611,0.3575,0.3575,0.364,0.9152,0.9169,0.8764,0.9163,0.9153,0.917,0.8762,0.9163,0.9152,0.917,0.8757,0.9163,15324,15324,15324,15324,"7959,614,684,6067","7968,605,667,6084","7817,756,1141,5610","7934,639,643,6108"
