Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
C2D_AE_128_3X3,R1_ChanelChange}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.6759,0.5666,0.795,0.6238,0.8404,0.8365,0.8365,0.8491,0.946,0.9651,0.9651,0.9314,0.359,0.4549,0.2757,0.4234,0.0936,0.0907,0.0907,0.1233,0.4622,0.5229,0.3965,0.4916,0.5686,0.5693,0.5693,0.5676,0.3611,0.3576,0.3576,0.3631,0.9118,0.9136,0.8788,0.9136,0.9118,0.9136,0.8788,0.9136,0.9118,0.9135,0.8788,0.9135,15324,15324,15324,15324,"7955,618,733,6018","8003,570,754,5997","7624,949,909,5842","8003,570,754,5997"
C2D_AE_128_3X3,R1_ChanelChange}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.658,0.5359,0.7819,0.6126,0.8401,0.8367,0.8367,0.8448,0.9451,0.9653,0.9653,0.9223,0.3836,0.498,0.2846,0.4155,0.1087,0.087,0.087,0.1591,0.47,0.5336,0.4006,0.502,0.5683,0.5691,0.5691,0.5678,0.3612,0.3575,0.3575,0.365,0.9045,0.9136,0.8651,0.9136,0.9044,0.9131,0.8631,0.9131,0.9042,0.9133,0.8619,0.9133,15324,15324,15324,15324,"7980,593,872,5879","7817,756,575,6176","7901,672,1426,5325","7817,756,575,6176"
C2D_AE_128_3X3,R1_ChanelChange}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6728,0.5436,0.7675,0.6362,0.8501,0.8428,0.8428,0.8515,0.9329,0.9615,0.9615,0.9175,0.3637,0.4816,0.2809,0.4009,0.1376,0.0863,0.0861,0.1621,0.4684,0.5423,0.4089,0.4878,0.5677,0.5687,0.5687,0.5675,0.3633,0.3585,0.3585,0.3658,0.8878,0.9195,0.8523,0.9195,0.8841,0.9195,0.8523,0.9195,0.8829,0.9195,0.8517,0.9195,15324,15324,15324,15324,"8126,447,1329,5422","8012,561,672,6079","7642,931,1333,5418","8012,561,672,6079"
C2D_AE_128_3X3,R1_ChanelChange}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6563,0.5226,0.7381,0.6131,0.8423,0.8383,0.8383,0.8468,0.9402,0.9625,0.9625,0.9188,0.3786,0.4821,0.2979,0.4231,0.1075,0.0892,0.0892,0.1412,0.4753,0.5722,0.4247,0.4996,0.5684,0.5692,0.5692,0.5678,0.3622,0.3582,0.3582,0.3652,0.8974,0.9144,0.8644,0.9144,0.8974,0.9144,0.8646,0.9144,0.8974,0.9143,0.8643,0.9143,15324,15324,15324,15324,"7800,773,799,5952","8008,565,746,6005","7655,918,1157,5594","8008,565,746,6005"
C2D_AE_128_3X3,R1_ChanelChange}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6441,0.5233,0.7408,0.5881,0.8428,0.8406,0.8406,0.8435,0.9424,0.962,0.962,0.9217,0.3985,0.4852,0.2902,0.4457,0.1121,0.0855,0.0855,0.1585,0.4794,0.5704,0.4277,0.5145,0.5682,0.5688,0.5688,0.5678,0.3619,0.3584,0.3584,0.3652,0.904,0.9165,0.8658,0.9165,0.9035,0.9165,0.8632,0.9165,0.9031,0.9165,0.8619,0.9165,15324,15324,15324,15324,"8032,541,938,5813","7926,647,633,6118","7938,635,1461,5290","7926,647,633,6118"
C2D_AE_128_3X3,ENUE_NORMAL-{R1}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,False,0.65,0.5627,0.7959,0.608,0.8429,0.8362,0.8362,0.8492,0.9483,0.9653,0.9653,0.9314,0.3818,0.4639,0.2506,0.4277,0.0915,0.0895,0.0895,0.1287,0.4793,0.5192,0.3977,0.5042,0.5682,0.5691,0.5691,0.5675,0.3606,0.3575,0.3575,0.3628,0.9094,0.9117,0.8725,0.9117,0.9088,0.9114,0.8712,0.9114,0.9089,0.9115,0.8715,0.9115,15324,15324,15324,15324,"7771,802,596,6155","7829,744,614,6137","7427,1146,827,5924","7829,744,614,6137"
C2D_AE_128_3X3,R1_ChanelChange}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6596,0.5669,0.7961,0.6229,0.8476,0.8416,0.8416,0.848,0.9451,0.9671,0.9671,0.9266,0.3801,0.4702,0.265,0.4214,0.0986,0.0875,0.0875,0.1358,0.4744,0.5164,0.3969,0.4938,0.5679,0.5688,0.5688,0.5676,0.3614,0.3573,0.3573,0.3642,0.915,0.9172,0.8778,0.9172,0.9148,0.9173,0.8771,0.9173,0.9146,0.9171,0.8764,0.9171,15324,15324,15324,15324,"8057,516,789,5962","8020,553,715,6036","7888,685,1199,5552","8020,553,715,6036"
C2D_AE_128_3X3,ENUE_NORMAL-{R1}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6537,0.5256,0.7437,0.5951,0.8385,0.8393,0.8393,0.8448,0.9439,0.9606,0.9606,0.9385,0.389,0.4879,0.2813,0.4415,0.1092,0.0862,0.0864,0.1173,0.4745,0.5643,0.4277,0.509,0.5685,0.569,0.569,0.5679,0.3614,0.3587,0.3587,0.3621,0.9,0.9148,0.8865,0.9148,0.9001,0.9142,0.8864,0.9142,0.8999,0.9143,0.8864,0.9143,15324,15324,15324,15324,"7893,680,851,5900","7809,764,551,6200","7682,891,850,5901","7809,764,551,6200"
C2D_AE_128_3X3,ENUE_NORMAL-{R1}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.664,0.5285,0.7521,0.609,0.8425,0.8386,0.8386,0.8483,0.9447,0.9638,0.9638,0.9295,0.3729,0.4859,0.289,0.4327,0.1014,0.0886,0.0886,0.1406,0.4709,0.5629,0.4173,0.5027,0.5682,0.5691,0.5691,0.5677,0.3614,0.3579,0.3579,0.3639,0.9083,0.9137,0.8845,0.9137,0.9082,0.9137,0.8818,0.9137,0.908,0.9137,0.8807,0.9137,15324,15324,15324,15324,"8002,571,836,5915","7897,676,647,6104","8064,509,1303,5448","7897,676,647,6104"
C2D_AE_128_3X3,ENUE_NORMAL-{R1}.pkl,Normal,AVENUE,NORMAL,128,MSE,ADAM,False,True,0.6563,0.5484,0.795,0.6135,0.8444,0.8366,0.8366,0.8476,0.9446,0.9664,0.9664,0.9313,0.3786,0.4872,0.2672,0.4256,0.0953,0.0889,0.0889,0.1269,0.472,0.5231,0.3962,0.4981,0.5682,0.5693,0.5693,0.5677,0.3615,0.3573,0.3573,0.3636,0.9101,0.9136,0.8829,0.9136,0.9101,0.9135,0.8829,0.9135,0.9101,0.9135,0.8826,0.9135,15324,15324,15324,15324,"7903,670,707,6044","7880,693,633,6118","7809,764,1030,5721","7880,693,633,6118"
